TAXON_ORDER,CATEGORY,SPECIES_CODE,TAXON_CONCEPT_ID,PRIMARY_COM_NAME,SCI_NAME,ORDER,FAMILY,SPECIES_GROUP,REPORT_AS
1678,species,japqua,avibase-110CF425,Japanese Quail,Coturnix japonica,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",
1679,species,harqua1,avibase-0CA903BB,Harlequin Quail,Coturnix delegorguei,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",
1683,species,raiqua1,avibase-A6F042E2,Rain Quail,Coturnix coromandelica,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",
1684,slash,y00935,avibase-CD5AD6BA,Common/Rain Quail,Coturnix coturnix/coromandelica,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",
1685,species,stuqua1,avibase-98984CAD,Stubble Quail,Coturnix pectoralis,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",
1686,species,nezqua1,avibase-48E3A389,New Zealand Quail,Coturnix novaezelandiae,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",
1687,spuh,coturn1,avibase-0902EAF7,old world quail sp.,Synoicus/Coturnix sp.,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",
1688,species,barpar2,avibase-D44B2846,Barbary Partridge,Alectoris barbara,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",
1693,species,arapar1,avibase-083811EB,Arabian Partridge,Alectoris melanocephala,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",
1694,species,relpar1,avibase-F71E0BE6,Red-legged Partridge,Alectoris rufa,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",
1698,species,chukar,avibase-87CBEBF7,Chukar,Alectoris chukar,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",
1713,species,rocpar2,avibase-44437074,Rock Partridge,Alectoris graeca,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",
1714,issf,rocpar3,avibase-5058517D,Rock Partridge (European),Alectoris graeca [graeca Group],Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",rocpar2
1718,issf,rocpar4,avibase-A274070B,Rock Partridge (Sicilian),Alectoris graeca whitakeri,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",rocpar2
1719,hybrid,x00640,avibase-ACA9E034,Red-legged x Rock Partridge (hybrid),Alectoris rufa x graeca,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",
1720,hybrid,x00381,avibase-C8765438,Chukar x Rock Partridge (hybrid),Alectoris chukar x graeca,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",
1721,slash,y00767,avibase-F5EE02CF,Red-legged/Rock Partridge,Alectoris rufa/graeca,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",
1722,species,phipar1,avibase-123F3941,Philby's Partridge,Alectoris philbyi,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",
1723,species,przpar1,avibase-CFA35E8A,Przevalski's Partridge,Alectoris magna,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",
1724,spuh,alecto1,avibase-EB2C5816,Alectoris sp.,Alectoris sp.,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",
1725,species,jubqua1,avibase-32413666,Jungle Bush-Quail,Perdicula asiatica,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",
1731,species,robqua1,avibase-177160F1,Rock Bush-Quail,Perdicula argoondah,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",
1735,slash,y00712,avibase-32789D73,Jungle/Rock Bush-Quail,Perdicula asiatica/argoondah,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",
1736,species,pabqua1,avibase-8E9DF823,Painted Bush-Quail,Perdicula erythrorhyncha,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",
1739,species,mabqua1,avibase-19031FF7,Manipur Bush-Quail,Perdicula manipurensis,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",
1742,species,himqua1,avibase-1EDD86FF,Himalayan Quail,Ophrysia superciliosa,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",
1743,species,harfra3,avibase-56FA0FE6,Hartlaub's Spurfowl,Pternistis hartlaubi,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",
1744,species,camfra2,avibase-D40CAF0C,Mount Cameroon Spurfowl,Pternistis camerunensis,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",
1745,species,hanfra2,avibase-DA7CA265,Handsome Spurfowl,Pternistis nobilis,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",
1746,species,chnfra2,avibase-81474844,Chestnut-naped Spurfowl,Pternistis castaneicollis,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",
1747,issf,chnfra1,avibase-05A3EE36,Chestnut-naped Spurfowl (Northern),Pternistis castaneicollis castaneicollis,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",chnfra2
1748,issf,chnfra3,avibase-F86E768E,Chestnut-naped Spurfowl (Black-fronted),Pternistis castaneicollis atrifrons,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",chnfra2
1749,species,ercfra,avibase-6C4A6597,Erckel's Spurfowl,Pternistis erckelii,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",
1750,species,djifra1,avibase-20C06F73,Djibouti Spurfowl,Pternistis ochropectus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",
1751,species,swifra2,avibase-3A5FE639,Swierstra's Spurfowl,Pternistis swierstrai,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",
1752,species,ahafra2,avibase-CA53B18D,Ahanta Spurfowl,Pternistis ahantensis,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",
1753,species,gysfra1,avibase-7A8E73BF,Gray-striped Spurfowl,Pternistis griseostriatus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",
1754,species,jacfra2,avibase-A7E59764,Jackson's Spurfowl,Pternistis jacksoni,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",
1755,species,rebfra1,avibase-9E356E43,Red-billed Spurfowl,Pternistis adspersus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",
1756,species,capfra2,avibase-6405CD29,Cape Spurfowl,Pternistis capensis,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",
1757,species,natfra2,avibase-A7002FF6,Natal Spurfowl,Pternistis natalensis,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",
1758,species,hilfra2,avibase-F5A73AAA,Hildebrandt's Spurfowl,Pternistis hildebrandti,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",
1759,species,dosfra2,avibase-D8267ADE,Double-spurred Spurfowl,Pternistis bicalcaratus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",
1762,species,scafra2,avibase-1B11690B,Scaly Spurfowl,Pternistis squamatus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",
1766,species,heufra1,avibase-3EAF578D,Heuglin's Spurfowl,Pternistis icterorhynchus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",
1767,species,clafra1,avibase-6EB4D5DE,Clapperton's Spurfowl,Pternistis clappertoni,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",
1768,species,harfra4,avibase-02D73B4A,Harwood's Spurfowl,Pternistis harwoodi,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",
1769,species,swafra2,avibase-721FFBD4,Swainson's Spurfowl,Pternistis swainsonii,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",
1772,species,yenspu1,avibase-90AFDF9E,Yellow-necked Spurfowl,Pternistis leucoscepus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",
1773,species,gybfra1,avibase-DB3EB527,Gray-breasted Spurfowl,Pternistis rufopictus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",
1774,species,renfra1,avibase-5FA94F66,Red-necked Spurfowl,Pternistis afer,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",
1775,issf,renfra2,avibase-2F65DBDD,Red-necked Spurfowl (Cranch's),Pternistis afer cranchii/harterti,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",renfra1
1778,issf,renfra3,avibase-22271F15,Red-necked Spurfowl (Northern),Pternistis afer [leucoparaeus Group],Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",renfra1
1782,issf,renfra4,avibase-51F27DDD,Red-necked Spurfowl (Benguela),Pternistis afer afer,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",renfra1
1783,issf,renfra5,avibase-510B6897,Red-necked Spurfowl (Southern),Pternistis afer castaneiventer,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",renfra1
1784,spuh,franco1,avibase-830FF017,francolin/spurfowl sp.,Phasianidae sp. (francolin/spurfowl sp.),Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)","Grouse, Quail, and Allies",
1786,species,chifla1,avibase-4F28673C,Chilean Flamingo,Phoenicopterus chilensis,Phoenicopteriformes,Phoenicopteridae (Flamingos),Flamingos,
1787,species,grefla2,avibase-E3FF6313,American Flamingo,Phoenicopterus ruber,Phoenicopteriformes,Phoenicopteridae (Flamingos),Flamingos,
1788,hybrid,x01038,avibase-45F15548,Chilean x American Flamingo (hybrid),Phoenicopterus chilensis x ruber,Phoenicopteriformes,Phoenicopteridae (Flamingos),Flamingos,
1789,species,grefla3,avibase-0F9B5174,Greater Flamingo,Phoenicopterus roseus,Phoenicopteriformes,Phoenicopteridae (Flamingos),Flamingos,
1790,hybrid,x01039,avibase-7D02B792,Chilean x Greater Flamingo (hybrid),Phoenicopterus chilensis x roseus,Phoenicopteriformes,Phoenicopteridae (Flamingos),Flamingos,
1791,slash,grefla,avibase-F6504898,American/Greater Flamingo,Phoenicopterus ruber/roseus,Phoenicopteriformes,Phoenicopteridae (Flamingos),Flamingos,
1792,species,lesfla1,avibase-B06A9079,Lesser Flamingo,Phoeniconaias minor,Phoenicopteriformes,Phoenicopteridae (Flamingos),Flamingos,
1793,slash,y00369,avibase-99CE48D2,Greater/Lesser Flamingo,Phoenicopterus roseus/Phoeniconaias minor,Phoenicopteriformes,Phoenicopteridae (Flamingos),Flamingos,
1794,species,andfla2,avibase-F85B3F92,Andean Flamingo,Phoenicoparrus andinus,Phoenicopteriformes,Phoenicopteridae (Flamingos),Flamingos,
1795,species,jamfla1,avibase-5E41A832,James's Flamingo,Phoenicoparrus jamesi,Phoenicopteriformes,Phoenicopteridae (Flamingos),Flamingos,
1796,spuh,flamin1,avibase-1FF0754B,flamingo sp.,Phoenicopteridae sp.,Phoenicopteriformes,Phoenicopteridae (Flamingos),Flamingos,
1798,species,whtgre3,avibase-8C75F227,White-tufted Grebe,Rollandia rolland,Podicipediformes,Podicipedidae (Grebes),Grebes,
1802,species,titgre1,avibase-83F61B45,Titicaca Grebe,Rollandia microptera,Podicipediformes,Podicipedidae (Grebes),Grebes,
1803,species,alagre1,avibase-16E62DC4,Alaotra Grebe,Tachybaptus rufolavatus,Podicipediformes,Podicipedidae (Grebes),Grebes,
1804,species,litgre1,avibase-215FEA89,Little Grebe,Tachybaptus ruficollis,Podicipediformes,Podicipedidae (Grebes),Grebes,
1805,issf,litgre3,avibase-71682A47,Little Grebe (Little),Tachybaptus ruficollis [ruficollis Group],Podicipediformes,Podicipedidae (Grebes),Grebes,litgre1
1813,issf,litgre4,avibase-50EE932B,Little Grebe (Tricolored),Tachybaptus ruficollis [tricolor Group],Podicipediformes,Podicipedidae (Grebes),Grebes,litgre1
1817,species,ausgre1,avibase-1ABF840F,Australasian Grebe,Tachybaptus novaehollandiae,Podicipediformes,Podicipedidae (Grebes),Grebes,
1824,species,madgre1,avibase-092C1484,Madagascar Grebe,Tachybaptus pelzelnii,Podicipediformes,Podicipedidae (Grebes),Grebes,
1825,species,leagre,avibase-267BDB86,Least Grebe,Tachybaptus dominicus,Podicipediformes,Podicipedidae (Grebes),Grebes,
1831,species,pibgre,avibase-9A8E55D0,Pied-billed Grebe,Podilymbus podiceps,Podicipediformes,Podicipedidae (Grebes),Grebes,
1835,species,atigre1,avibase-5B2C899D,Atitlan Grebe,Podilymbus gigas,Podicipediformes,Podicipedidae (Grebes),Grebes,
1836,species,hohgre1,avibase-64866E2A,Hoary-headed Grebe,Poliocephalus poliocephalus,Podicipediformes,Podicipedidae (Grebes),Grebes,
1837,slash,y01019,avibase-F2925FBA,Australasian/Hoary-headed Grebe,Tachybaptus novaehollandiae/Poliocephalus poliocephalus,Podicipediformes,Podicipedidae (Grebes),Grebes,
1838,species,nezgre1,avibase-5DE62468,New Zealand Grebe,Poliocephalus rufopectus,Podicipediformes,Podicipedidae (Grebes),Grebes,
1839,species,gregre1,avibase-EA53492B,Great Grebe,Podiceps major,Podicipediformes,Podicipedidae (Grebes),Grebes,
1842,species,horgre,avibase-018B3169,Horned Grebe,Podiceps auritus,Podicipediformes,Podicipedidae (Grebes),Grebes,
1845,species,rengre,avibase-1CBD2CED,Red-necked Grebe,Podiceps grisegena,Podicipediformes,Podicipedidae (Grebes),Grebes,
1848,species,grcgre1,avibase-8F269702,Great Crested Grebe,Podiceps cristatus,Podicipediformes,Podicipedidae (Grebes),Grebes,
1852,species,eargre,avibase-32DCEC14,Eared Grebe,Podiceps nigricollis,Podicipediformes,Podicipedidae (Grebes),Grebes,
1856,slash,y00229,avibase-8AD5E890,Horned/Eared Grebe,Podiceps auritus/nigricollis,Podicipediformes,Podicipedidae (Grebes),Grebes,
1857,species,colgre1,avibase-A62CBDD6,Colombian Grebe,Podiceps andinus,Podicipediformes,Podicipedidae (Grebes),Grebes,
1858,species,silgre1,avibase-C0F86DA2,Silvery Grebe,Podiceps occipitalis,Podicipediformes,Podicipedidae (Grebes),Grebes,
1859,issf,silgre3,avibase-79EB0827,Silvery Grebe (Andean),Podiceps occipitalis juninensis,Podicipediformes,Podicipedidae (Grebes),Grebes,silgre1
1860,issf,silgre2,avibase-CEF706B0,Silvery Grebe (Patagonian),Podiceps occipitalis occipitalis,Podicipediformes,Podicipedidae (Grebes),Grebes,silgre1
1861,species,jungre1,avibase-BB1BF3D9,Junin Grebe,Podiceps taczanowskii,Podicipediformes,Podicipedidae (Grebes),Grebes,
1862,species,hoogre1,avibase-A17592A3,Hooded Grebe,Podiceps gallardoi,Podicipediformes,Podicipedidae (Grebes),Grebes,
1863,spuh,podice1,avibase-DA9E33D9,Podiceps sp.,Podiceps sp.,Podicipediformes,Podicipedidae (Grebes),Grebes,
1864,species,wesgre,avibase-C6E1197B,Western Grebe,Aechmophorus occidentalis,Podicipediformes,Podicipedidae (Grebes),Grebes,
1867,species,clagre,avibase-D05FFEF7,Clark's Grebe,Aechmophorus clarkii,Podicipediformes,Podicipedidae (Grebes),Grebes,
1870,hybrid,x00427,avibase-1BFB023C,Western x Clark's Grebe (hybrid),Aechmophorus occidentalis x clarkii,Podicipediformes,Podicipedidae (Grebes),Grebes,
1871,slash,y00012,avibase-4728D9BF,Western/Clark's Grebe,Aechmophorus occidentalis/clarkii,Podicipediformes,Podicipedidae (Grebes),Grebes,
1872,spuh,grebe1,avibase-6875C69E,grebe sp.,Podicipedidae sp.,Podicipediformes,Podicipedidae (Grebes),Grebes,
1874,species,rocpig,avibase-BBA263C2,Rock Pigeon,Columba livia,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,
1875,form,rocpig2,avibase-E8574CAB,Rock Pigeon (Wild type),Columba livia (Wild type),Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,rocpig
1889,domestic,rocpig1,avibase-533DD36C,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,rocpig
1890,species,hilpig1,avibase-BF20B94D,Hill Pigeon,Columba rupestris,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,
1893,slash,y01112,avibase-BC985DFE,Rock/Hill Pigeon,Columba livia/rupestris,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,
1894,species,snopig1,avibase-F5750571,Snow Pigeon,Columba leuconota,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,
1897,species,spepig1,avibase-A6EA9F02,Speckled Pigeon,Columba guinea,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,
1900,species,whcpig1,avibase-DD7C4C78,White-collared Pigeon,Columba albitorques,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,
1901,species,stodov1,avibase-68E4C0D1,Stock Dove,Columba oenas,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,
1904,species,pabpig1,avibase-38AA824B,Yellow-eyed Pigeon,Columba eversmanni,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,
1905,species,sompig1,avibase-37B66CCF,Somali Pigeon,Columba oliviae,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,
1906,species,cowpig1,avibase-760F307A,Common Wood-Pigeon,Columba palumbus,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,
1907,issf,comwop1,avibase-09790D38,Common Wood-Pigeon (White-necked),Columba palumbus [palumbus Group],Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,cowpig1
1912,issf,comwop2,avibase-5D81DE5A,Common Wood-Pigeon (Cinnamon-necked),Columba palumbus casiotis,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,cowpig1
1913,species,tropig1,avibase-BAAC66AF,Trocaz Pigeon,Columba trocaz,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,
1914,species,bolpig1,avibase-1ED914E6,Bolle's Pigeon,Columba bollii,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,
1915,species,afepig1,avibase-1A145C89,Afep Pigeon,Columba unicincta,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,
1916,species,laupig1,avibase-396E6311,Laurel Pigeon,Columba junoniae,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,
1917,species,rampig1,avibase-EEDB8253,Rameron Pigeon,Columba arquatrix,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,
1918,species,campig1,avibase-757ABA94,Cameroon Pigeon,Columba sjostedti,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,
1919,species,marpig1,avibase-8288E54D,Maroon Pigeon,Columba thomensis,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,
1920,species,delpig1,avibase-870E4DDA,Delegorgue's Pigeon,Columba delegorguei,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,
1921,issf,delpig2,avibase-28F3333D,Delegorgue's Pigeon (Northern),Columba delegorguei sharpei,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,delpig1
1922,issf,delpig3,avibase-693AD7C3,Delegorgue's Pigeon (Southern),Columba delegorguei delegorguei,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,delpig1
1923,species,brnpig1,avibase-3FC9BA60,Bronze-naped Pigeon,Columba iriditorques,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,
1924,species,satpig1,avibase-E6393B15,Sao Tome Pigeon,Columba malherbii,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,
1925,species,mauwop1,avibase-B01378DF,Mauritius Wood-Pigeon,Columba thiriouxi,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,
1926,species,compig1,avibase-05BBFC8E,Comoro Pigeon,Columba pollenii,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,
1927,species,spwpig1,avibase-3503F769,Speckled Wood-Pigeon,Columba hodgsonii,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,
1928,species,whnpig1,avibase-A1B9BB88,White-naped Pigeon,Columba albinucha,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,
1929,species,aswpig1,avibase-6E814856,Ashy Wood-Pigeon,Columba pulchricollis,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,
1930,species,niwpig1,avibase-5813ADBE,Nilgiri Wood-Pigeon,Columba elphinstonii,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,
1931,species,ceywop1,avibase-EEEDA1B2,Sri Lanka Wood-Pigeon,Columba torringtoniae,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,
1932,species,pacpig1,avibase-D5C3E9C9,Pale-capped Pigeon,Columba punicea,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,
1933,species,siwpig1,avibase-036DC7FC,Silvery Wood-Pigeon,Columba argentina,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,
1934,species,anwpig1,avibase-95059E5A,Andaman Wood-Pigeon,Columba palumboides,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,
1935,species,jawpig1,avibase-E2209F71,Black Wood-Pigeon,Columba janthina,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,
1938,species,ryupig1,avibase-33D2620F,Ryukyu Pigeon,Columba jouyi,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,
1939,species,bonpig1,avibase-0EFF2CA3,Bonin Pigeon,Columba versicolor,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,
1940,species,metpig1,avibase-CE7203C7,Metallic Pigeon,Columba vitiensis,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,
1941,issf,metpig2,avibase-369F25B6,Metallic Pigeon (Metallic),Columba vitiensis [vitiensis Group],Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,metpig1
1949,issf,metpig3,avibase-783E08E0,Metallic Pigeon (Samoan),Columba vitiensis castaneiceps,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,metpig1
1950,species,whhpig1,avibase-8F3CF81A,White-headed Pigeon,Columba leucomela,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,
1951,species,yelpig1,avibase-3C0E1CD4,Yellow-legged Pigeon,Columba pallidiceps,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,
1952,spuh,columb1,avibase-F837F893,Columba sp.,Columba sp.,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,
1953,species,lemdov2,avibase-EE40DDB6,Lemon Dove,Aplopelia larvata,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,
1954,issf,lemdov1,avibase-EC13A78E,Lemon Dove (Western),Aplopelia larvata inornata,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,lemdov2
1955,issf,lemdov3,avibase-83ADBF1D,Lemon Dove (Principe),Aplopelia larvata principalis,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,lemdov2
1956,issf,fordov1,avibase-CE53C299,Lemon Dove (Sao Tome),Aplopelia larvata simplex,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,lemdov2
1957,issf,lemdov4,avibase-D980D726,Lemon Dove (Lemon),Aplopelia larvata larvata/bronzina,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,lemdov2
1960,species,pavpig2,avibase-A8908194,Pale-vented Pigeon,Patagioenas cayennensis,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,
1967,species,scapig2,avibase-3EAF0903,Scaled Pigeon,Patagioenas speciosa,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,
1968,species,scnpig1,avibase-D15BB73D,Scaly-naped Pigeon,Patagioenas squamosa,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,
1969,species,picpig2,avibase-C7405D19,Picazuro Pigeon,Patagioenas picazuro,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,
1972,species,baepig2,avibase-A87AEB78,Bare-eyed Pigeon,Patagioenas corensis,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,
1973,species,spwpig3,avibase-346FC22F,Spot-winged Pigeon,Patagioenas maculosa,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,
1974,issf,spwpig2,avibase-9DAE7539,Spot-winged Pigeon (albipennis),Patagioenas maculosa albipennis,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,spwpig3
1975,issf,spwpig4,avibase-CC3675BF,Spot-winged Pigeon (maculosa),Patagioenas maculosa maculosa,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,spwpig3
1976,species,whcpig2,avibase-5F571C8A,White-crowned Pigeon,Patagioenas leucocephala,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,
1977,species,rebpig1,avibase-F8174D40,Red-billed Pigeon,Patagioenas flavirostris,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,
1982,species,plapig,avibase-C4BD9E16,Plain Pigeon,Patagioenas inornata,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,
1986,species,batpig1,avibase-31ACA998,Band-tailed Pigeon,Patagioenas fasciata,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,
1987,issf,batpig2,avibase-0693123F,Band-tailed Pigeon (Northern),Patagioenas fasciata [fasciata Group],Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,batpig1
1991,issf,batpig4,avibase-49691AE8,Band-tailed Pigeon (Viosca's),Patagioenas fasciata vioscae,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,batpig1
1992,issf,batpig3,avibase-3B008E78,Band-tailed Pigeon (White-necked),Patagioenas fasciata [albilinea Group],Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,batpig1
1996,slash,y00319,avibase-17AD34EC,Rock/Band-tailed Pigeon,Columba livia/Patagioenas fasciata,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,
1997,species,chipig2,avibase-2BD38691,Chilean Pigeon,Patagioenas araucana,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,
1998,species,ritpig,avibase-05E3F3DF,Ring-tailed Pigeon,Patagioenas caribaea,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,
1999,species,perpig2,avibase-2328CDB8,Peruvian Pigeon,Patagioenas oenops,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,
2000,species,plupig2,avibase-CD161B09,Plumbeous Pigeon,Patagioenas plumbea,Columbiformes,Columbidae (Pigeons and Doves),Pigeons and Doves,
